Table 2.1. Personal Income and Its Disposition
Table 2.1. Personal Income and Its Disposition
"Last Revised on: July 30, 2025 - Next Release Date August 28, 2025"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10,"        Farm",5659,3897,3034,1750,2224,2580,4894,3947,5638,4011,4023,4065,6026,9688,11543,11438,11824,14211,14342,16704,11989,12872,15303,14313,12169,11749,10716,10588,10550,12422,10044,10648,11249,11217,11010,9781,12029,13018,11642,11660,12833,12894,13386,17023,29075,23468,21999,17210,15964,19922,22150,11707,19028,13314,6173,20938,20981,22795,28894,26790,33025,32157,26786,34764,31366,34663,22021,37334,32385,28574,28043,31194,32138,20305,37120,52391,47914,34301,41499,39526,27596,38696,63930,60980,87532,68487,55460,36024,41005,32131,33785,46344,75546,95925,71268,45190
11,"        Nonfarm",8356,6975,5281,3262,3044,4427,5230,6446,6883,6587,7097,8169,10624,13653,16682,17908,19000,21460,20237,22575,22701,24642,27291,28727,29848,30506,33556,35231,37235,37736,40302,39939,41950,44017,45388,49351,51633,54915,57833,62172,64172,64909,70518,78071,83446,88745,96239,113764,128528,146052,157288,159862,160652,157877,180077,207309,220071,233684,257574,298735,308105,320997,327377,365392,396618,421981,459165,506449,551573,611701,668309,722365,798919,849828,860390,910504,931226,1016569,953900,920779,910531,1069807,1164406,1238943,1264206,1301478,1292263,1313189,1387629,1463200,1521991,1547675,1739720,1777630,1877726,1960673
12,"    Rental income of persons with capital consumption adjustment",6065,5371,4440,3599,2858,2516,2564,2684,2966,3480,3716,3847,4415,5454,6024,6337,6578,6899,6889,7484,7798,8779,9720,10816,12028,13061,13423,13668,14054,14798,15559,16463,17200,18046,18728,18831,19336,19910,20345,20096,20348,20664,21828,22719,23117,23181,22292,20308,15867,16545,16093,18978,23780,23833,24435,24652,26204,18268,16594,22492,21524,28168,38577,60573,90079,113667,124882,142528,147059,165206,178497,183476,202403,208448,227098,242781,221105,181120,186259,290275,347592,433671,506541,534468,578687,598502,601351,618723,642028,671488,688432,738112,772259,870266,989079,1056862
13,"    Personal income receipts on assets",12686,11974,10564,8669,7693,8331,8584,10086,10412,8812,9476,9767,10305,10121,10529,10952,11778,13549,15397,16785,17927,20684,21437,22557,24526,26526,29301,32301,35454,37245,40726,44509,47311,52081,56700,63138,69483,74966,80966,88837,100348,114928,125126,136594,155388,180597,200960,220015,251574,285807,327138,397723,483931,554883,600199,676737,724311,766266,776310,848040,959746,1004849,1008698,995434,1001948,1043635,1128549,1188819,1266516,1352478,1336177,1455648,1461935,1402632,1435569,1498706,1636354,1899026,2105303,2151519,1838471,1747679,1906485,2103551,1983244,2177401,2344590,2415419,2610966,2789376,2950022,2912422,3180726,3474032,3822888,3946559
14,"        Personal interest income",6885,6506,6498,6125,5655,5764,5740,5563,5752,5647,5710,5751,5874,5867,6083,6335,7178,7975,9076,9749,10689,11846,12867,13997,15640,17244,18823,21021,23712,25679,28156,31143,33410,37054,40464,44944,49278,54296,59456,65302,76109,90621,100099,109758,125508,147410,168038,181044,206851,235079,269481,333527,414198,481759,518213,590927,630517,663145,674343,720069,802260,835131,827689,806166,796828,806304,869355,886403,928763,994038,987717,1069278,1087525,1001156,1004371,939342,1081326,1215446,1325248,1345849,1272829,1211054,1216066,1271809,1201595,1260374,1347722,1387973,1466672,1554473,1603518,1508953,1480270,1634870,1891962,1964645
15,"        Personal dividend income",5801,5468,4066,2544,2038,2567,2844,4523,4660,3165,3766,4016,4431,4254,4446,4617,4600,5574,6321,7036,7238,8838,8570,8560,8886,9282,10478,11280,11742,11566,12570,13366,13901,15027,16236,18194,20205,20670,21510,23535,24239,24307,25027,26836,29880,33187,32922,38971,44723,50728,57657,64196,69733,73124,81986,85810,93794,103121,101967,127971,157486,169718,181009,189268,205120,237331,259194,302416,337753,358440,348461,386370,374410,401476,431198,559365,555028,683580,780055,805670,565642,536625,690419,831742,781648,917027,996868,1027446,1144294,1234903,1346503,1403470,1700456,1839162,1930926,1981914
16,"    Personal current transfer receipts",1189,1221,2348,1745,1691,1752,1976,3081,1975,2399,2518,2681,2656,2664,2489,3107,5642,10548,10820,10252,11212,13972,11411,11882,12516,14314,15684,16827,19527,23466,24239,25740,29450,30392,32209,33504,36178,39617,48014,56094,62304,74663,88108,97920,112568,133294,169978,184337,194572,209890,235559,280128,318984,355465,384295,400636,425372,451555,468141,497460,544241,596867,668143,748037,792989,828963,883455,929203,954864,983911,1026175,1087311,1192597,1285216,1347256,1421242,1516743,1613843,1728094,1955114,2146744,2325153,2358685,2363017,2424348,2541550,2685407,2777022,2855685,2976276,3147101,4228832,4653739,4139175,4268030,4538863
17,"        Government social benefits to persons",791,869,1921,1274,1274,1347,1584,2687,1600,2142,2237,2394,2306,2322,2102,2674,5142,10120,10428,9881,10857,13417,10538,10994,11674,13747,14754,15592,18132,22226,22917,24428,28089,28843,30341,31317,33913,37504,45752,53306,58973,71737,85412,94808,108628,128556,163134,177643,189482,203427,227334,271498,307809,343079,370499,380909,403112,428607,447913,476864,521070,574674,650507,731750,778935,815708,864727,906325,935418,957915,992202,1044876,1145830,1251022,1320994,1404471,1490917,1593029,1697335,1919349,2107728,2281411,2310139,2322586,2385910,2498625,2635146,2717282,2807432,2925973,3090760,4181099,4561016,4013760,4146460,4405878
18,"            Social security2",---,---,---,---,---,---,---,---,1,10,14,35,88,130,165,209,273,378,463,554,665,952,1872,2176,2980,3632,4914,5652,7316,8478,10175,11130,12614,14298,15245,16018,18067,19786,21122,24598,26382,31380,36617,40948,50665,57607,65895,74501,83239,91380,102581,118586,138644,153708,164426,173027,183275,193631,200995,213916,227380,244135,264204,281776,297935,312161,327675,342005,356592,369182,379864,401393,425084,446909,463531,485512,512728,544096,575653,605542,664470,690174,713261,762139,799044,834640,871793,896472,926072,972412,1030743,1077928,1114600,1211504,1356973,1446832
19,"            Medicare3",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1008,4699,5890,6695,7254,8049,8836,10244,12726,15633,18795,22101,25543,29936,36201,43499,50927,57797,64748,69720,75269,81585,86289,98175,107638,117487,132596,146785,164423,181220,194868,206917,205558,208736,219117,242580,259736,276708,304359,332127,399107,428201,461613,492951,513390,535609,554746,572843,600007,634939,662108,691829,733569,790499,820365,878902,935017,1009527,1081264
20,"            Medicaid",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1881,2720,3997,4551,5455,6744,8211,9611,11176,13863,15457,16737,18619,21067,23855,27746,30159,33871,36572,39673,43645,47836,53027,60838,73144,96911,116248,130104,139429,149570,158188,163124,170195,184555,199493,227259,250009,264526,289812,304414,299100,324189,338333,369610,396868,406022,417539,439983,490872,535913,562783,573731,589766,614035,657605,736520,814387,878146,926665
21,"            Unemployment insurance",---,---,---,---,---,---,---,---,2,393,435,534,358,350,81,67,558,2600,1591,1270,2247,1489,886,1075,1084,2324,1598,1575,1948,4244,2853,3079,4401,3182,3061,2776,2365,1913,2237,2207,2327,4186,6160,6033,4570,7021,18140,16386,13129,9417,9692,16097,15885,25227,26411,15991,15861,16467,14625,13328,14410,18162,26787,39617,34848,23942,21734,22274,20103,19693,20509,20741,31899,53480,53175,36425,31775,30366,32740,51148,131211,138857,107163,83615,62499,35463,32545,32038,30186,27618,27477,528590,317322,23807,33196,35405
22,"            Veterans' benefits",558,599,1576,782,555,444,471,1881,584,524,541,546,516,506,521,953,2865,5504,6196,5515,4900,7675,4581,4322,4074,4057,4366,4329,4473,4566,4492,4488,4853,4573,4750,4632,4849,4822,5547,5852,6612,7457,8404,9374,10242,11581,13950,13765,13349,13597,14153,14660,15782,16290,16445,16275,16551,16589,16463,16735,17214,17687,18131,18620,19307,19703,20543,21425,22306,23266,24139,25004,26597,29542,31829,34050,36388,38871,41671,45039,51537,57962,63267,70113,79058,84162,92568,96773,111408,119705,129833,144898,152984,168750,196933,219069
23,"            Other",---,---,---,---,719,903,1113,806,1013,1215,1247,1279,1344,1336,1332,1440,1441,1638,2178,2542,3045,3301,3200,3421,3536,3734,3876,4037,4395,4938,5397,5731,6221,6790,7285,7891,8632,8094,9427,10762,12406,16005,19438,21406,23296,28445,35653,38739,40927,44871,49905,62099,66253,66768,71549,74296,78032,83006,86409,93569,103053,113908,126987,142893,149956,156050,163985,167565,166376,170021,174399,179128,192411,211347,231225,254313,273485,281489,294881,417674,397950,484162,484817,434433,432482,453481,467387,467108,474206,482903,498173,951712,1360688,860295,671684,696643
24,"        Other current transfer receipts, from business (net)",398,352,427,471,417,405,392,394,375,257,281,287,350,342,387,433,500,428,392,371,355,555,873,888,842,567,930,1235,1395,1240,1322,1312,1361,1549,1868,2187,2265,2113,2262,2788,3331,2926,2696,3112,3940,4738,6844,6694,5090,6463,8225,8630,11175,12386,13796,19727,22260,22948,20228,20596,23171,22193,17636,16287,14054,13255,18728,22878,19446,25996,33973,42435,46767,34193,26261,16772,25826,20814,30759,35765,39016,43741,48546,40431,38438,42925,50261,59740,48253,50303,56340,47733,92723,125415,121571,132985
25,"    Less: Contributions for government social insurance, domestic",74,73,70,71,63,69,72,312,1473,1617,1752,1870,2334,2892,3778,4347,5340,6618,5564,4616,4890,5482,6634,6923,7106,8074,9091,9987,11413,11384,13834,16444,17005,19117,21669,22387,23416,31336,34867,38695,44127,46359,51176,59204,75496,85181,89310,101334,113094,131260,152749,166188,195701,208894,225953,257470,281370,303438,323113,361482,385231,410108,430182,454951,477425,508180,532800,555078,587241,624651,661285,705840,733197,751496,779283,829240,873347,922538,961410,988358,964272,983747,916651,950526,1104286,1153553,1204749,1238836,1298929,1361683,1424780,1449731,1559517,1704828,1816644,1898740
26,Less: Personal current taxes,1729,1571,1003,728,812,900,1067,1295,1922,1858,1487,1686,2310,4888,16737,17663,19442,17210,19790,19205,16733,18912,27055,32005,33242,30160,32859,36591,38886,38548,42289,46068,47250,51555,54552,52069,57664,66378,72961,86987,104506,103070,101705,123640,132407,151048,147607,172671,197879,229649,268913,299512,345780,354743,352879,377916,417813,437806,489587,505939,567735,594668,588901,612802,648754,693073,748407,837084,931821,1032421,1111914,1236329,1239047,1052178,1003538,1048745,1212456,1356963,1492489,1507501,1152378,1237620,1453691,1509514,1677535,1785680,1940888,1958752,2048829,2074153,2198663,2245277,2705098,3244907,2855735,3035708
27,Equals: Disposable personal income,83560,74962,64665,49566,46422,53190,59776,67926,72788,67226,72145,77722,95568,121836,139450,152054,156344,165324,174691,194291,194338,214823,237177,250455,265985,272061,291300,311312,329097,340404,360576,376070,393326,417282,438222,476124,512995,553961,592762,643928,695830,761975,831080,900816,1008373,1100771,1221782,1329976,1461357,1634072,1813796,2024946,2257420,2434718,2628837,2910758,3105080,3293387,3457219,3774082,4053277,4318635,4501012,4804692,5004111,5247849,5534953,5829114,6142153,6555937,6866685,7384970,7754096,8097871,8478217,8967128,9333646,9945033,10439630,10918179,10913304,11319008,11855880,12408280,12391235,12998394,13532854,13928899,14613927,15454039,16164498,17374805,18714400,18844013,20546800,21633600
28,Less: Personal outlays,79592,71618,61843,49653,46764,52265,56751,63133,67882,65256,68215,72415,82311,89964,100807,109673,121156,145772,163670,177100,180715,194826,211298,222647,236795,243915,263100,276658,292210,301582,323358,338219,348940,370581,391124,420842,454244,492100,519768,571001,619773,664386,719155,789289,872560,954491,1057753,1175590,1305410,1459006,1626971,1800052,1993865,2143518,2364160,2584451,2822139,3004675,3196629,3456971,3717860,3958000,4100047,4354195,4611522,4890649,5155913,5459177,5770391,6131349,6550866,7068147,7390940,7646275,8038323,8550079,9124471,9669084,10176205,10466706,10288366,10647583,11079596,11431755,11775539,12286398,12742281,13182701,13772281,14457384,14986339,14715795,16618700,18277916,19579575,20650440
29,"    Personal consumption expenditures",77382,70136,60672,48714,45945,51461,55932,62188,66839,64272,67209,71288,81072,89002,99903,108648,119977,144198,161852,174878,178333,192044,208339,219320,232740,239608,258288,271128,286296,295606,317130,331180,341475,362557,382035,410632,442973,479919,506685,556852,603639,646724,699937,768153,849575,930161,1030547,1147666,1273975,1422252,1585420,1750667,1933951,2071256,2281605,2492340,2712830,2886278,3076279,3330012,3576758,3808994,3943449,4197559,4451984,4720965,4962590,5244596,5536790,5877248,6283758,6767179,7073801,7348941,7740749,8231960,8769066,9277236,9746594,10050083,9891218,10260256,10698857,11047363,11388233,11874450,12297438,12726849,13290626,13934442,14437543,14225657,16113945,17690841,18822769,19825338
30,"    Personal interest payments4",1532,875,664,524,464,482,499,610,706,667,704,799,904,659,439,420,437,666,936,1268,1558,2030,2221,2546,3172,3392,3961,4538,4842,4967,5435,6218,6488,6926,7903,8897,9895,10619,11078,12110,13891,15095,16412,17970,19596,20899,23375,23531,26594,31323,35509,42481,48385,58458,67428,75043,90557,97295,97128,101323,113058,118434,119946,116149,113900,119862,140419,157015,169739,184572,190777,217745,225645,200588,196480,207268,237307,266919,291243,271998,252838,242333,229945,229605,229501,243729,263485,272765,290384,321327,341200,287483,277797,334448,493121,551201
31,"    Personal current transfer payments",678,607,507,415,355,322,320,335,337,317,302,328,335,303,465,605,742,908,882,954,824,752,738,781,884,914,851,992,1072,1009,792,821,977,1097,1186,1313,1376,1562,2005,2038,2243,2567,2806,3166,3389,3431,3831,4394,4841,5431,6042,6904,11529,13804,15128,17067,18752,21103,23222,25636,28045,30572,36653,40487,45639,49822,52903,57566,63862,69529,76331,83222,91494,96746,101094,110851,118098,124929,138369,144624,144310,144994,150794,154787,157804,168219,181358,183087,191271,201615,207596,202655,226957,252628,263685,273901
32,"        To government",335,301,228,198,164,160,158,159,162,164,151,150,156,180,216,248,269,247,219,276,318,314,349,369,410,437,430,488,567,574,320,342,476,543,530,602,578,778,982,1039,1128,1281,1455,1786,1835,2068,2493,3018,3466,3856,4328,4952,5951,7066,8130,9168,10425,11959,13194,14846,16493,18352,22571,25995,28569,30892,32648,34931,38199,39863,44062,48750,52921,56380,60509,66899,71625,75286,79178,80971,80057,79404,82170,86300,87003,91948,98830,101646,104588,111269,114581,109321,122787,131521,135547,139693
33,"        To the rest of the world (net)",343,306,279,217,191,162,162,176,175,153,151,178,179,123,249,357,473,661,663,678,506,438,389,412,474,477,421,504,505,435,472,479,501,554,656,711,798,784,1023,999,1115,1286,1351,1380,1554,1363,1338,1376,1375,1575,1714,1952,5578,6738,6998,7899,8327,9144,10028,10790,11552,12220,14082,14492,17070,18930,20255,22635,25663,29666,32269,34472,38573,40366,40585,43952,46473,49643,59191,63654,64253,65590,68624,68487,70801,76271,82529,81441,86683,90346,93015,93334,104171,121107,128138,134209
34,Equals: Personal saving,3967,3344,2822,-88,-342,924,3025,4793,4906,1970,3930,5307,13257,31872,38643,42381,35187,19552,11021,17191,13623,19997,25880,27808,29189,28147,28200,34654,36887,38823,37218,37850,44386,46702,47099,55282,58750,61861,72994,72927,76057,97588,111926,111526,135813,146280,164029,154386,155947,175066,186825,224894,263555,291199,264677,326307,282942,288712,260590,317112,335417,360635,400964,450497,392588,357200,379040,369937,371763,424588,315819,316823,363156,451596,439894,417049,209175,275950,263425,451473,624938,671425,776284,976525,615697,711996,790573,746198,841646,996655,1178158,2659010,2095700,566096,967225,983159
35,"    Personal saving as a percentage of disposable personal income",4.7,4.5,4.4,-0.2,-0.7,1.7,5.1,7.1,6.7,2.9,5.4,6.8,13.9,26.2,27.7,27.9,22.5,11.8,6.3,8.8,7.0,9.3,10.9,11.1,11.0,10.3,9.7,11.1,11.2,11.4,10.3,10.1,11.3,11.2,10.7,11.6,11.5,11.2,12.3,11.3,10.9,12.8,13.5,12.4,13.5,13.3,13.4,11.6,10.7,10.7,10.3,11.1,11.7,12.0,10.1,11.2,9.1,8.8,7.5,8.4,8.3,8.4,8.9,9.4,7.8,6.8,6.8,6.3,6.1,6.5,4.6,4.3,4.7,5.6,5.2,4.7,2.2,2.8,2.5,4.1,5.7,5.9,6.5,7.9,5.0,5.5,5.8,5.4,5.8,6.4,7.3,15.3,11.2,3.0,4.7,4.5
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"    Personal income excluding current transfer receipts, millions of chained (2017) dollars5",957082,894969,842669,732641,712629,783406,859917,957370,1015789,953017,1026258,1097972,1282880,1486359,1686256,1728593,1697410,1604111,1555295,1628938,1614449,1754357,1889561,1981649,2072552,2063784,2202638,2317877,2367582,2359550,2476219,2550583,2618225,2759864,2864829,3033164,3230595,3423581,3552376,3734673,3908458,3998765,4099366,4348265,4578894,4511422,4465432,4652861,4853698,5124043,5256039,5251580,5385361,5436511,5564822,5962268,6179175,6403163,6588143,6894261,7119600,7221109,7158008,7362700,7476715,7703781,7969912,8290152,8691069,9306352,9655984,10205604,10358990,10308983,10443064,10766533,10994349,11473412,11782023,11742289,11154770,11303806,11800056,12222871,12157400,12605430,13143311,13339491,13807071,14260013,14700259,14708618,15385380,15459172,15880418,16299635
,"    Disposable personal income:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"        Total, millions of chained (2017) dollars5",950936,890810,860569,747988,726384,796159,873196,983222,1016529,960749,1041136,1112211,1287542,1459713,1529938,1577573,1559736,1541974,1479335,1557182,1569851,1714921,1772640,1834273,1922730,1950196,2080001,2179508,2236047,2259441,2358172,2419785,2504867,2626650,2725850,2919333,3100726,3265815,3408909,3563701,3684966,3855046,4033378,4227560,4490546,4439814,4548720,4694035,4842739,5062824,5161131,5201785,5322185,5438124,5632129,6009173,6194254,6430007,6547527,6878807,7078571,7224787,7286285,7575935,7698614,7908569,8169235,8423267,8723798,9237996,9536904,10003742,10297305,10614442,10884329,11233162,11364855,11777627,12054064,12244267,12273027,12505319,12775226,13125723,12937113,13383706,13908497,14172046,14613927,15144040,15616547,16604199,17173583,16229358,17052533,17516740
,"        Per capita:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"            Current dollars",686,609,521,397,369,421,469,530,564,517,551,588,716,903,1020,1099,1117,1169,1212,1325,1303,1416,1537,1596,1667,1675,1763,1851,1921,1955,2036,2080,2141,2236,2315,2481,2640,2818,2982,3208,3432,3715,4002,4291,4758,5146,5657,6098,6634,7340,8058,8892,9815,10485,11218,12313,13019,13684,14236,15401,16384,17262,17753,18701,19226,19919,20762,21612,22502,23740,24583,26151,27186,28122,29172,30577,31533,33281,34603,35851,35520,36532,37964,39426,39077,40671,42013,42910,44710,47002,48907,52359,56283,56356,60944,63589
39,"            Chained (2017) dollars",7802,7231,6932,5986,5779,6294,6856,7671,7882,7392,7946,8418,9652,10824,11189,11399,11147,10906,10264,10620,10523,11306,11489,11687,12050,12009,12585,12956,13055,12975,13313,13387,13633,14077,14400,15211,15955,16612,17152,17752,18176,18797,19420,20139,21188,20757,21061,21524,21984,22741,22928,22842,23139,23418,24035,25420,25971,26716,26962,28070,28613,28878,28739,29487,29578,30019,30644,31230,31960,33452,34142,35424,36102,36861,37451,38304,38396,39414,39954,40205,39946,40361,40908,41705,40798,41876,43179,43659,44710,46059,47249,50037,51649,48537,50580,51488
40,"    Population (midperiod, thousands)6",121878,123188,124149,124949,125690,126485,127362,128181,128961,129969,131028,132122,133402,134860,136739,138397,139928,141389,144126,146631,149188,151684,154287,156954,159565,162391,165275,168221,171274,174141,177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282398,285225,287955,290626,293262,295993,298818,301696,304543,307240,309839,312295,314725,317099,319601,322113,324609,326860,328794,330513,331840,332505,334372,337141,340212
,"    Percent change from preceding period:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
